,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
213,"Rea, C"," Rea, C",SD,5,4.82,102.6666667,12,44,80,0.258,1.42,1761,0.666666667,17.1525974,0.779220779,0.428571429,369,SD,SP,"$510,200 ",1 (2016),"$510,200 ","$510,200 "
214,"Reed, A"," Reed, A",NYM,4,1.97,77.66666667,4,13,91,0.21,0.94,1193,0.666666667,15.36051502,1.17167382,0.167381974,102,NYM,RP,"$5,300,000 ",1 (2016),"$5,300,000 ","$5,300,000 "
215,"Richard, C"," Richard, C",SD,3,3.33,67.66666667,4,31,41,0.3,1.66,1086,0.666666667,16.04926108,0.60591133,0.458128079,174,CHC,RP,"$2,000,000 ",1 (2016),"$2,000,000 ","$2,000,000 "
216,"Rivero, F"," Rivero, F",PIT,1,4.09,77,7,33,92,0.231,1.29,1294,0,16.80519481,1.194805195,0.428571429,326,WSH,RP,"$516,100 ",1 (2016),"$516,100 ","$516,100 "
217,"Roark, T"," Roark, T",WSH,16,2.83,210,17,73,172,0.228,1.17,3355,0,15.97619048,0.819047619,0.347619048,254,WSH,SP,"$543,400 ",1 (2016),"$543,400 ","$543,400 "
218,"Robertson, D"," Robertson, D",CWS,5,3.47,62.33333333,6,32,75,0.231,1.36,1050,0.333333333,16.84491979,1.203208556,0.513368984,41,CWS,RP,"$11,000,000 ",4 (2015-18),"$46,000,000 ","$11,500,000 "
219,"Robles, H"," Robles, H",NYM,6,3.48,77.66666667,7,36,85,0.24,1.35,1376,0.666666667,17.7167382,1.094420601,0.463519313,324,NYM,RP,"$516,500 ",1 (2016),"$516,500 ","$516,500 "
220,"Rodney, F"," Rodney, F",MIA,2,3.44,65.33333333,5,37,74,0.228,1.39,1149,0.333333333,17.58673469,1.132653061,0.566326531,188,SD,RP,"$1,600,000 ",1 (2016),"$1,600,000 ","$1,600,000 "
221,"Rodon, C"," Rodon, C",CWS,9,4.04,165,23,54,168,0.273,1.39,2795,0,16.93939394,1.018181818,0.327272727,314,CWS,SP,"$518,000 ",1 (2016),"$518,000 ","$518,000 "
222,"Rodriguez, E"," Rodriguez, E",BOS,3,4.71,107,16,40,100,0.241,1.3,1854,0,17.3271028,0.934579439,0.373831776,296,BOS,SP,"$521,000 ",1 (2016),"$521,000 ","$521,000 "
223,"Rodriguez, F"," Rodriguez, F",DET,3,3.24,58.33333333,6,21,52,0.214,1.13,928,0.333333333,15.90857143,0.891428571,0.36,218,OAK,RP,"$1,050,000 ",1 (2016),"$1,050,000 ","$1,050,000 "
