,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
284,"Wacha, M"," Wacha, M",STL,7,5.09,138,15,45,114,0.289,1.48,2324,0,16.84057971,0.826086957,0.326086957,257,STL,SP,"$539,000 ",1 (2016),"$539,000 ","$539,000 "
285,"Wainwright, A"," Wainwright, A",STL,13,4.62,198.6666667,22,59,161,0.287,1.4,3195,0.666666667,16.08221477,0.810402685,0.296979866,17,STL,SP,"$19,500,000 ",5 (2014-18),"$97,500,000 ","$19,500,000 "
286,"Walker, T"," Walker, T",SEA,8,4.22,134.3333333,27,37,119,0.247,1.24,2311,0.333333333,17.20347395,0.885856079,0.275434243,273,SEA,SP,"$528,600 ",1 (2016),"$528,600 ","$528,600 "
287,"Wang, C"," Wang, C",KC,6,4.22,53.33333333,6,18,30,0.286,1.46,835,0.333333333,15.65625,0.5625,0.3375,221,KC,SP,"$1,000,000 ",1 (2016),"$1,000,000 ","$1,000,000 "
288,"Warren, A"," Warren, A",NYY,7,4.68,65.33333333,11,29,52,0.244,1.35,1185,0.333333333,18.1377551,0.795918367,0.443877551,186,CHC,RP,"$1,700,000 ",1 (2016),"$1,700,000 ","$1,700,000 "
289,"Watson, T"," Watson, T",PIT,2,3.06,67.66666667,10,20,58,0.215,1.06,1045,0.666666667,15.44334975,0.857142857,0.295566502,139,PIT,RP,"$3,450,000 ",1 (2016),"$3,450,000 ","$3,450,000 "
290,"Weaver, J"," Weaver, J",LAA,12,5.06,178,37,51,103,0.297,1.46,2835,0,15.92696629,0.578651685,0.286516854,14,LAA,SP,"$20,200,000 ",5 (2012-16),"$85,000,000 ","$17,000,000 "
291,"Wilhelmsen, T"," Wilhelmsen, T",SEA,2,6.8,46.33333333,11,19,28,0.321,1.71,808,0.333333333,17.43884892,0.604316547,0.410071942,147,TEX,RP,"$3,100,000 ",1 (2016),"$3,100,000 ","$3,100,000 "
292,"Wilson, A"," Wilson, A",DET,4,2.96,73,5,21,49,0.252,1.22,1130,0,15.47945205,0.671232877,0.287671233,291,DET,RP,"$522,500 ",1 (2016),"$522,500 ","$522,500 "
293,"Wilson, J"," Wilson, J",DET,4,4.14,58.66666667,6,17,65,0.263,1.33,996,0.666666667,16.97727273,1.107954545,0.289772727,192,DET,RP,"$1,525,000 ",1 (2016),"$1,525,000 ","$1,525,000 "
294,"Wilson, T"," Wilson, T",BAL,4,5.27,94,15,24,55,0.288,1.43,1470,0,15.63829787,0.585106383,0.255319149,359,BAL,RP,"$511,500 ",1 (2016),"$511,500 ","$511,500 "
295,"Wisler, M"," Wisler, M",ATL,7,5,156.6666667,26,49,115,0.259,1.33,2438,0.666666667,15.56170213,0.734042553,0.312765957,402,ATL,SP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
296,"Wood, A"," Wood, A",LAD,1,3.73,60.33333333,5,20,66,0.245,1.26,985,0.333333333,16.32596685,1.093922652,0.331491713,267,LAD,SP,"$530,000 ",1 (2016),"$530,000 ","$530,000 "
297,"Wood, B"," Wood, B",CIN,6,3.99,76.66666667,9,38,81,0.251,1.43,1313,0.666666667,17.12608696,1.056521739,0.495652174,244,CIN,RP,"$600,000 ",1 (2016),"$600,000 ","$600,000 "
298,"Wood, T"," Wood, T",CHC,4,2.95,61,8,24,47,0.199,1.13,1016,0,16.6557377,0.770491803,0.393442623,89,CHC,RP,"$6,170,000 ",1 (2016),"$6,170,000 ","$6,170,000 "
299,"Worley, V"," Worley, V",BAL,2,3.53,86.66666667,11,35,56,0.261,1.37,1300,0.666666667,15,0.646153846,0.403846154,159,BAL,SP,"$2,600,000 ",1 (2016),"$2,600,000 ","$2,600,000 "
300,"Wright, M"," Wright, M",BAL,3,5.79,74.66666667,12,26,50,0.282,1.43,1296,0.666666667,17.35714286,0.669642857,0.348214286,366,BAL,SP,"$510,500 ",1 (2016),"$510,500 ","$510,500 "
301,"Wright, S"," Wright, S",BOS,13,3.33,156.6666667,12,57,127,0.235,1.24,2496,0.666666667,15.93191489,0.810638298,0.363829787,339,BOS,SP,"$514,500 ",1 (2016),"$514,500 ","$514,500 "
302,"Yates, K"," Yates, K",LAA,2,5.23,41.33333333,5,19,50,0.258,1.45,800,0.333333333,19.35483871,1.209677419,0.459677419,357,NYY,RP,"$511,900 ",1 (2016),"$511,900 ","$511,900 "
303,"Young, C"," Young, C",KC,3,6.19,88.66666667,28,43,94,0.291,1.66,1678,0.666666667,18.92481203,1.060150376,0.484962406,117,KC,SP,"$4,250,000 ",2 (2016-17),"$11,500,000 ","$5,750,000 "
304,"Ziegler, B"," Ziegler, B",BOS,4,2.25,68,2,26,58,0.261,1.37,1035,0,15.22058824,0.852941176,0.382352941,98,ARI,P,"$5,500,000 ",2 (2014-15),"$10,500,000 ","$5,250,000 "
305,"Zimmermann, J"," Zimmermann, J",DET,9,4.87,105.3333333,14,26,66,0.284,1.37,1707,0.333333333,16.2056962,0.626582278,0.246835443,18,DET,SP,"$18,000,000 ",5 (2016-20),"$110,000,000 ","$22,000,000 "
